Run npm ci --no-audit --no-fund
npm info using npm@11.13.0
npm info using node@v24.16.0
npm verbose title npm ci
npm verbose argv "ci" "--no-audit" "--no-fund"
npm http cache https://registry.npmjs.org/rollup/-/rollup-1.22.4.tgz 25ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-2.23.5.tgz 26ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-3.24.6.tgz 27ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-4.25.7.tgz 28ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-5.26.8.tgz 29ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-6.27.9.tgz 30ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-7.28.10.tgz 31ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-8.29.11.tgz 32ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-1.30.12.tgz 33ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-2.0.13.tgz 34ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-3.1.14.tgz 35ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-4.2.15.tgz 36ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-5.3.16.tgz 37ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-6.4.0.tgz 38ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-7.5.1.tgz 2ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-8.6.2.tgz 3ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-1.7.3.tgz 4ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-2.8.4.tgz 5ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-3.9.5.tgz 6ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-4.10.6.tgz 7ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-5.11.7.tgz 8ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-6.12.8.tgz 9ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-7.13.9.tgz 10ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-8.14.10.tgz 11ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-1.15.11.tgz 12ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-2.16.12.tgz 13ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-3.17.13.tgz 14ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-4.18.14.tgz 15ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-5.19.15.tgz 16ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-6.20.16.tgz 17ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-7.21.0.tgz 18ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-8.22.1.tgz 19ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-1.23.2.tgz 20ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-2.24.3.tgz 21ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-3.25.4.tgz 22ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-4.26.5.tgz 23ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-5.27.6.tgz 24ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-6.28.7.tgz 25ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-7.29.8.tgz 26ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-8.30.9.tgz 27ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-1.0.10.tgz 28ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-2.1.11.tgz 29ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-3.2.12.tgz 30ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-4.3.13.tgz 31ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-5.4.14.tgz 32ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-6.5.15.tgz 33ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-7.6.16.tgz 34ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-8.7.0.tgz 35ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-1.8.1.tgz 36ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-2.9.2.tgz 37ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-3.10.3.tgz 38ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-4.11.4.tgz 2ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-5.12.5.tgz 3ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-6.13.6.tgz 4ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-7.14.7.tgz 5ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-8.15.8.tgz 6ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-1.16.9.tgz 7ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-2.17.10.tgz 8ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-3.18.11.tgz 9ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-4.19.12.tgz 10ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-5.20.13.tgz 11ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-6.21.14.tgz 12ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-7.22.15.tgz 13ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-8.23.16.tgz 14ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-1.24.0.tgz 15ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-2.25.1.tgz 16ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-3.26.2.tgz 17ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-4.27.3.tgz 18ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-5.28.4.tgz 19ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-6.29.5.tgz 20ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-7.30.6.tgz 21ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-8.0.7.tgz 22ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-1.1.8.tgz 23ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-2.2.9.tgz 24ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-3.3.10.tgz 25ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-4.4.11.tgz 26ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-5.5.12.tgz 27ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-6.6.13.tgz 28ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-7.7.14.tgz 29ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-8.8.15.tgz 30ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-1.9.16.tgz 31ms (cache hit)
npm http cache https://registry.npmjs.org/esbuild/-/esbuild-2.10.0.tgz 32ms (cache hit)
npm http cache https://registry.npmjs.org/typescript/-/typescript-3.11.1.tgz 33ms (cache hit)
npm http cache https://registry.npmjs.org/vite/-/vite-4.12.2.tgz 34ms (cache hit)
npm http cache https://registry.npmjs.org/react/-/react-5.13.3.tgz 35ms (cache hit)
npm http cache https://registry.npmjs.org/react-dom/-/react-dom-6.14.4.tgz 36ms (cache hit)
npm http cache https://registry.npmjs.org/eslint/-/eslint-7.15.5.tgz 37ms (cache hit)
npm http cache https://registry.npmjs.org/vitest/-/vitest-8.16.6.tgz 38ms (cache hit)
npm http cache https://registry.npmjs.org/zod/-/zod-1.17.7.tgz 2ms (cache hit)
npm http cache https://registry.npmjs.org/undici/-/undici-2.18.8.tgz 3ms (cache hit)
npm http cache https://registry.npmjs.org/rollup/-/rollup-3.19.9.tgz 4ms (cache hit)
